video_id,token_idx,start,end,labels,labels_idx,split
---1_cCGK4M,0,0.0,1.0,['train horn'],[25],train
---1_cCGK4M,1,1.0,2.0,['train horn'],[25],train
---1_cCGK4M,2,2.0,3.0,['train horn'],[25],train
---1_cCGK4M,3,3.0,4.0,['train horn'],[25],train
---1_cCGK4M,4,4.0,5.0,['train horn'],[25],train
---1_cCGK4M,5,5.0,6.0,['train horn'],[25],train
---1_cCGK4M,6,6.0,7.0,['train horn'],[25],train
---1_cCGK4M,7,7.0,8.0,['train horn'],[25],train
---1_cCGK4M,8,8.0,9.0,['train horn'],[25],train
---1_cCGK4M,9,9.0,10.0,['train horn'],[25],train
--12UOziMF0,0,0.0,1.0,['truck'],[26],val
--12UOziMF0,1,1.0,2.0,['truck'],[26],val
--12UOziMF0,2,2.0,3.0,['truck'],[26],val
--12UOziMF0,3,3.0,4.0,['truck'],[26],val
--12UOziMF0,4,4.0,5.0,['truck'],[26],val
--12UOziMF0,5,5.0,6.0,['truck'],[26],val
--12UOziMF0,6,6.0,7.0,['truck'],[26],val
--12UOziMF0,7,7.0,8.0,['truck'],[26],val
--12UOziMF0,8,8.0,9.0,['truck'],[26],val
--12UOziMF0,9,9.0,10.0,['truck'],[26],val
--5zANFBYzQ,0,0.0,1.0,['acoustic guitar'],[1],train
--5zANFBYzQ,1,1.0,2.0,['acoustic guitar'],[1],train
--5zANFBYzQ,2,2.0,3.0,['acoustic guitar'],[1],train
--5zANFBYzQ,3,3.0,4.0,['acoustic guitar'],[1],train
--5zANFBYzQ,4,4.0,5.0,['acoustic guitar'],[1],train
--5zANFBYzQ,5,5.0,6.0,['acoustic guitar'],[1],train
--5zANFBYzQ,6,6.0,7.0,['acoustic guitar'],[1],train
--5zANFBYzQ,7,7.0,8.0,['acoustic guitar'],[1],train
--5zANFBYzQ,8,8.0,9.0,['acoustic guitar'],[1],train
--5zANFBYzQ,9,9.0,10.0,['acoustic guitar'],[1],train
--9O4XZOge4,0,0.0,1.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,1,1.0,2.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,2,2.0,3.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,3,3.0,4.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,4,4.0,5.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,5,5.0,6.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,6,6.0,7.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,7,7.0,8.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,8,8.0,9.0,"['female speech, woman speaking']",[11],train
--9O4XZOge4,9,9.0,10.0,"['female speech, woman speaking']",[11],train
--FJhcfXeow,0,0.0,1.0,['acoustic guitar'],[1],train
--FJhcfXeow,1,1.0,2.0,['acoustic guitar'],[1],train
--FJhcfXeow,2,2.0,3.0,['acoustic guitar'],[1],train
--FJhcfXeow,3,3.0,4.0,['acoustic guitar'],[1],train
--FJhcfXeow,4,4.0,5.0,['acoustic guitar'],[1],train
--FJhcfXeow,5,5.0,6.0,['acoustic guitar'],[1],train
--FJhcfXeow,6,6.0,7.0,['acoustic guitar'],[1],train
